modified,rendered,hmr
1649876903.921,1649876904.492,0.571
1649876925.985,1649876926.310,0.325
1649876953.154,1649876953.496,0.342
1649876972.869,1649876973.188,0.319
1649876992.101,1649876992.688,0.587
