install.time.total,
install.size.total,
start.time.managerWebpack,16000
start.time.previewWebpack,31000
start.time.managerRender,34804
start.time.previewRender,35591
build.time.build,42090
browse.time.managerRender,809
browse.time.previewRender,1426
browse.size.total,10031
browse.size.manager.total,2169
browse.size.manager.main,1
browse.size.manager.runtime,4
browse.size.manager.vendors,2164
browse.size.manager.uiDll,
browse.size.preview.total,4294
browse.size.preview.main,494
browse.size.preview.runtime,4
browse.size.preview.vendors,3796
browse.size.preview.docsDll,
