install.time.total,
install.size.total,
start.time.managerWebpack,17000
start.time.previewWebpack,31000
start.time.managerRender,35825
start.time.previewRender,36689
build.time.build,40644
browse.time.managerRender,796
browse.time.previewRender,1411
browse.size.total,10031
browse.size.manager.total,2169
browse.size.manager.main,1
browse.size.manager.runtime,4
browse.size.manager.vendors,2164
browse.size.manager.uiDll,
browse.size.preview.total,4294
browse.size.preview.main,494
browse.size.preview.runtime,4
browse.size.preview.vendors,3796
browse.size.preview.docsDll,
